candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Ратушняк С.М,Сумська,Sumska,0.08,16,627338
Ратушняк С.М,Київська,Kyivska,0.08,16,944893
Ратушняк С.М,Житомирська,Zhytomyrska,0.08,17,691123
Ратушняк С.М,м.Київ,Kyiv,0.08,17,1430356
Ратушняк С.М,Волинська,Volynska,0.07,15,586568
Ратушняк С.М,Миколаївська,Mykolaivska,0.07,16,601126
Ратушняк С.М,Рівненська,Rivnenska,0.07,16,623112
Ратушняк С.М,Чернігівська,Chernihivska,0.07,17,602599
Ратушняк С.М,Дніпропетровська,Dnipropetrovska,0.06,16,1833458
Ратушняк С.М,Чернівецька,Chernivetska,0.06,16,434568
Ратушняк С.М,Кіровоградська,Kirovohradska,0.06,17,508754
Ратушняк С.М,Харківська,Kharkivska,0.06,16,1455120
Ратушняк С.М,Івано-Франківська,Ivano-Frankivska,0.06,15,774146
Ратушняк С.М,Херсонська,Khersonska,0.06,17,538431
Ратушняк С.М,Тернопільська,Ternopilska,0.05,15,646679
Ратушняк С.М,Львівська,Lvivska,0.04,15,1475124
Ратушняк С.М,Одеська,Odeska,0.04,17,1160126
Ратушняк С.М,Авт.Респ. Крим,Avtonomna Respublika Krym,0.04,17,981922
Ратушняк С.М,м.Севастополь,Sevastopilska,0.04,16,204145
Ратушняк С.М,Запорізька,Zaporizka,0.04,17,1010500
Ратушняк С.М,Луганська,Luhanska,0.03,17,1313664
Ратушняк С.М,Донецька,Donetska,0.03,17,2439002
Рябоконь О.В,Вінницька,Vinnytska,0.08,17,899734
Рябоконь О.В,м.Київ,Kyiv,0.05,18,1430356
Рябоконь О.В,Закарпатська,Zakarpatska,0.05,18,540736
Рябоконь О.В,Полтавська,Poltavska,0.04,18,803708
Рябоконь О.В,Волинська,Volynska,0.04,18,586568
Рябоконь О.В,Чернігівська,Chernihivska,0.04,18,602599
Рябоконь О.В,Житомирська,Zhytomyrska,0.04,18,691123
Рябоконь О.В,Хмельницька,Khmelnytska,0.04,18,748056
Рябоконь О.В,Київська,Kyivska,0.04,18,944893
Рябоконь О.В,Дніпропетровська,Dnipropetrovska,0.03,18,1833458
Рябоконь О.В,Черкаська,Cherkaska,0.03,18,681265
Рябоконь О.В,Рівненська,Rivnenska,0.03,18,623112
Рябоконь О.В,Сумська,Sumska,0.03,18,627338
Рябоконь О.В,Херсонська,Khersonska,0.03,18,538431
Рябоконь О.В,м.Севастополь,Sevastopilska,0.03,18,204145
Рябоконь О.В,Кіровоградська,Kirovohradska,0.03,18,508754
Рябоконь О.В,Чернівецька,Chernivetska,0.03,18,434568
Рябоконь О.В,Тернопільська,Ternopilska,0.02,18,646679
Рябоконь О.В,Запорізька,Zaporizka,0.02,18,1010500
Рябоконь О.В,Івано-Франківська,Ivano-Frankivska,0.02,17,774146
Рябоконь О.В,Авт.Респ. Крим,Avtonomna Respublika Krym,0.02,18,981922
Рябоконь О.В,Одеська,Odeska,0.02,18,1160126
Рябоконь О.В,Миколаївська,Mykolaivska,0.02,18,601126
Рябоконь О.В,Харківська,Kharkivska,0.02,18,1455120
Рябоконь О.В,Донецька,Donetska,0.01,18,2439002
Рябоконь О.В,Луганська,Luhanska,0.01,18,1313664
Рябоконь О.В,Львівська,Lvivska,0.01,18,1475124
Супрун Л.П,Волинська,Volynska,0.71,10,586568
Супрун Л.П,Івано-Франківська,Ivano-Frankivska,0.54,10,774146
Супрун Л.П,Чернігівська,Chernihivska,0.44,11,602599
Супрун Л.П,м.Севастополь,Sevastopilska,0.4,10,204145
Супрун Л.П,Сумська,Sumska,0.35,11,627338
Супрун Л.П,Черкаська,Cherkaska,0.32,12,681265
Супрун Л.П,Кіровоградська,Kirovohradska,0.31,11,508754
Супрун Л.П,Чернівецька,Chernivetska,0.3,11,434568
